Time,Latency_Static,Latency_PPO
1,12.977535042685652,6.960001061552598
2,11.141548088320384,7.06953824277669
3,13.414561768435544,5.606852013429609
4,9.94204291087036,5.52169093860624
5,13.28315870601327,7.250283007180845
6,13.875717747464849,6.835016409088589
7,13.334165207986386,6.099544234498292
8,14.445381239790636,5.508931942846337
9,11.799935685925076,5.788618862358304
10,11.518786744409002,6.709716829261755
11,11.988349785266653,6.199088455403109
12,12.275949254283118,7.746044204175099
13,9.005003238286644,4.582260474419056
14,13.073901022790647,7.626098471315256
15,13.490510340575833,5.851050622339927
16,13.278355748589512,6.50494794115452
17,9.568996616671123,7.490930024713988
18,9.702308738220589,7.258426522153657
19,10.048105748784131,5.549554290177712
20,11.877782236086048,6.450509083280542
